query_id,query,top_product_ids_nn,relevant_ids,map@10_nn,top_product_names_nn
10,king poster bed beds,"[8723, 5054, 1132, 29251, 17771, 5060, 5053, 41924, 9201, 20251]","[29103, 40327, 17749, 3865, 24485, 8962, 14886, 28207, 7170, 20754, 9201, 34760, 35520, 17824, 17744, 17745, 454, 24760, 6694, 6746, 28208]",0.01111111111111111,"['gilboy king low profile standard bed', 'eastborough king standard bed', 'fegan standard bed', 'ilmars king standard bed', 'tahmid king standard bed', 'valdivia king tufted standard bed', 'treadaway king standard bed', 'ashantii king low profile standard bed', 'king solid wood four poster bed', 'behudin queen tufted upholstered standard bed']"
11,ombre rug area rugs,"[84, 83, 85, 3857, 82, 3858, 3856, 3860, 3859, 32979]","[7741, 14656, 32340, 28778, 37028, 7742, 3835, 3859, 3885, 17136, 14400, 9146, 9147, 9148, 28780, 25744, 38897, 10263, 10265, 10264, 11922, 3857, 11928, 3860, 11926, 11927, 7740, 3858, 3861, 14382, 8537, 8536, 85, 83, 9145, 9143, 11919, 11923, 3856, 11925, 11929, 28172, 9144, 11920, 11917, 11918, 84, 28348, 28779, 4126, 18139, 18140, 18141, 42195, 42196, 37573, 29810, 25702, 25658, 25752, 82, 24511, 24510, 24512, 18459]",0.9,"['roswell ombre braided cotton black area rug', 'octagon senoia ombre braided cotton beige area rug', 'octagon putney ombre braided cotton burgundy area rug', 'geometric ombre blue/green/beige area rug', 'traci ombre braided cotton aqua area rug', 'mcguigan ombre lattice blue/black area rug', 'ombre doily blue/purple area rug', 'geometric ombre green area rug', 'classic geometric ombre yellow area rug', 'bussard cotton blue area rug']"
12,large spoon fork wall decor wall door,"[27345, 30393, 27725, 7957, 17809, 5110, 17467, 18414, 19353, 1354]","[31929, 11321, 32789, 37407, 5096, 18462, 7626, 25779, 42458, 24716, 24594, 2489, 10599, 25477, 23580, 28502, 14385, 12125, 25484, 28453, 17260, 28501, 224, 1354, 28080, 34349, 4629, 34946]",0.01,"['3 piece architectural window wall decor set', 'nautical boat ship steering wheel wall décor', 'architectural gothic window wall décor', '3 piece wall décor set', 'bar wall décor', 'bar typography wooden wall décor', 'solid wood window frame wall décor', 'nautical anchor wall décor', 'wooden custom mimosa bar wall décor', 'utensil 3 piece wall décor set']"
13,outdoor privacy wall fencing accessories,"[37506, 22854, 22858, 37474, 22849, 22855, 36825, 22857, 22859, 12514]","[16355, 12509, 12508, 12504, 16354, 12510, 12505, 41426, 12514, 36919, 36921, 40892, 22858, 22850, 22851, 22852, 22856, 22849, 22859, 22857, 22854, 22855, 22853, 29730, 42814, 26660, 27527, 29729, 29731, 42812, 42813, 37871, 36920, 30523, 5943, 12520, 8633, 36728, 8634, 34045, 29352, 7098, 36851, 30538, 5451, 40883]",0.4425,"['guifford upholstered bench', '4 ft. h x 2.5 ft. w tree of life vinyl privacy screen', '4 ft. h x 2.5 ft. w azzaria vinyl privacy screen', 'coulombe upholstered bench', '4 ft. h x 2.5 ft. w olive branch vinyl privacy screen', '4 ft. h x 2.5 ft. w vines vinyl privacy screen', 'evangelista upholstered bench', '4 ft. h x 2.5 ft. w square vinyl privacy screen', '4 ft. h x 2.5 ft. w roman vinyl privacy screen', '2 ft. h x 4 ft. w metal privacy screen']"
14,beds leds beds,"[37143, 37141, 37142, 40047, 42943, 42942, 18845, 42938, 38731, 30802]","[42938, 29279, 42941, 42943, 42939, 38731, 29434, 37142, 7099, 37143, 42936, 42940, 1068, 37141, 14967, 40050, 42942, 40047, 23510, 23987]",0.7763888888888889,"['jovenko upholstered led storage platform bed', 'sabara upholstered led storage platform bed', 'galway upholstered led storage platform bed', 'queenscliff faux leather upholstered storage platform bed', 'bassik upholstered low profile platform bed', 'skofte odessa upholstered platform bed', 'full over full bunk bed with twin size trundle , pine wood bunk bed with guardrails for kids and teens', 'abner upholstered sleigh bed', 'emete low profile standard bed', 'clermt twin platform bed']"
15,black drawer dresser guilford dressers chests,"[5414, 26023, 26012, 2787, 5416, 816, 4797, 9008, 26251, 34375]","[17439, 25698]",0.0,"['bramblett 6 drawer standard dresser', 'hefley 7 drawer dresser', 'escarcega 7 drawer combo dresser', 'milian 6 drawer double dresser', 'lavedan 6 drawer standard dresser', 'deviana 6 drawer double dresser', 'wolak 6 drawer double dresser', 'doloritas 7 drawer dresser', 'harnden 7 drawer dresser', 'loar 7 drawer dresser']"
16,blk 18x18 seat cushions furniture cushions,"[9028, 9649, 9637, 7365, 9645, 9646, 20038, 20037, 20120, 1883]","[4028, 27608, 4030, 4032]",0.0,"['indoor/outdoor seat/back cushion', 'ditsy outdoor seat/back cushion', 'leala texture outdoor seat/back cushion', 'indoor/outdoor barstool cushion', 'acuna woven outdoor chair cushion', 'acuna woven outdoor seat/back cushion', 'home office use soft flax indoor/outdoor seat cushion', 'home office decor indoor/outdoor seat cushion', 'outdoor seat/back cushion', 'sarver indoor/outdoor seat/back cushion']"
17,closet storage zipper storage drawers,"[39449, 39448, 17602, 22120, 39445, 39392, 25161, 19554, 39447, 15959]","[33643, 17572, 31792, 31114, 19554, 33109, 33110, 39445, 39447, 39448, 39449, 39450, 15959, 17902, 17903, 17904, 38014, 19555, 39175, 25161, 39393]",0.5163095238095239,"[""jiron 49.2 '' w portable clothes storage non-woven fabric organizer closet"", 'jimerson portable cube organizer wardrobe waterproof storage closet', 'midfield 2 tier wood shelf 6 drawer dresser', 'kareem 8 drawers double dresser', ""jeramiah 58 '' w portable clothes closet"", ""weehawken 67 '' w portable wardrobe"", ""lange 43 '' w closet organizer"", ""henrik 36 '' w wardrobe clothes storage organizer closet"", ""jiles 49.99 '' w portable closet"", ""montelongo 18 '' w 6 tier free-standing wardrobe closet organizer""]"
18,chrome bathroom light vanity light vanity lighting,"[13259, 39700, 25069, 33903, 23859, 35320, 37524, 39516, 39514, 19632]","[32459, 37528, 20885, 19659, 19660, 17491, 19632, 15892, 15890, 21630, 39514, 10259, 20779, 21625, 32658, 13687, 15073, 15071, 39699, 9287, 3305, 37524, 40230, 33907, 23859, 24061, 27299, 29574, 33905, 27301, 33900, 13446, 27776, 24810]",0.12190476190476192,"['frankton bathroom 3-light dimmable vanity light', 'funderburk 5-light dimmable vanity light', 'hoover 3-light vanity light', 'boornazian 4-light dimmable vanity light', 'sakamoto 4-light vanity light', 'tomberlin 2-light dimmable vanity light', 'oakman 4-light dimmable chrome vanity light', 'cassandra 3-light vanity light', 'cassandra 4-light vanity light', 'brá 4-light dimmable chrome vanity light']"
19,gurney slade 56 chandeliers,"[35532, 23993, 13678, 39616, 23472, 9738, 3176, 34971, 3175, 2836]",[],0.0,"['abdulilah solid color room darkening curtains panels', 'foreston toile room darkening thermal rod pocket curtain panels', 'heil patio solid color room darkening grommet single curtain panel', 'gram bamboo single curtain panel', 'christy lace floral sheer rod pocket single curtain panel', 'concert solid color room darkening thermal rod pocket single curtain panel', 'javor pier single curtain panel', 'abijah solid room darkening thermal rod pocket curtain panels', 'woodcroft walkway to the beach single curtain panel', 'sikora floral room darkening thermal grommet curtain panels']"
20,fountains brick look wallpaper,"[2392, 30616, 30621, 30620, 27909, 30624, 30622, 30619, 30617, 30618]","[27910, 37834, 27901, 2392, 14436, 6160, 8722, 27908, 443, 17971, 17963, 30616]",0.2,"['godbey natural stone bubbling fountain', 'rubi resin zen 3 level fountain', 'petrillo resin tiered zen fountain', 'webbe deluxe pineapple 2-tier waterfall fountain', 'darian resin fountain with light', 'casilla polyresin table top fountain with light', 'aprin concrete basin fountain with led light', 'bruster zen fountain with light', 'grace bay resin pot fountain with light', 'jowett resin royal lion head wallfall fountain with light']"
21,living curtains pearl curtains drapes,"[25955, 25951, 25949, 25953, 25958, 25950, 25957, 25945, 25943, 25940]",[27990],0.0,"['atmore bamboo sheer single curtain panel', 'abie bamboo floral sheer single curtain panel', 'abiba bamboo floral sheer single curtain panel', 'abella natural beaded solid color single curtain panel', 'jodie-ann circle beaded bamboo sheer single curtain panel', 'abernethy sailboat single curtain panel', 'gilus cherry blossom bamboo sheer single curtain panel', 'abdiel single curtain panel', ""abba chinese calligraphy bamboo floral sheer single curtain panel x 78 '' h"", 'abbott single curtain panel']"
22,light navy blue decorative pillow accent pillows,"[21649, 5213, 6998, 32960, 3596, 7190, 31001, 199, 10963, 5972]","[21422, 21029, 10963, 21805, 4199, 24112, 9533, 18488, 3954, 18291, 21426, 3641, 40407, 30221, 24113, 2303, 21028, 529, 39589, 21425, 26622, 4155]",0.01111111111111111,"['erion outdoor square pillow insert', ""vicdan 12 '' lumbar pillow cover & insert pillow"", 'donalsonville indoor faux throw pillow', 'aanya 100 % cotton throw pillow', 'taraji outdoor throw pillow', 'polla cotton floral throw pillow', 'kuhlman throw pillow', 'geneva indoor/outdoor throw pillow', 'andre cotton striped throw pillow', 'style cusp home throw pillow']"
23,stanford end tables white wood end tables,"[20955, 35306, 13150, 30452, 5895, 40017, 40194, 19369, 4718, 23809]",[],0.0,"['danville end table', 'beekman 3 legs end table with storage', 'reclaimed teak end table', 'jonina solid wood tray top 4 leg end table', 'eurydice solid wood end table with storage', 'saugus wood end table', 'filipek 4 legs end table with storage', 'marinus end table with storage', 'hiliritas c table end table', 'burnes end table with storage']"
24,wood coffee table set storage living room table sets,"[16554, 28096, 16605, 40979, 12249, 26760, 16602, 26504, 28095, 876]","[28584, 26321, 12250, 17632, 41329, 24863, 28998, 26033, 18721, 42367, 33301, 17940, 24721, 40981, 40980, 40979, 11640, 24508, 30593, 19630, 18023, 41332, 31667, 41326, 41320, 10403, 16605, 42681, 26509, 20620, 17179, 14094, 38332, 16239, 39377, 36477, 42755, 40338, 24256, 20212, 41362, 24119, 17673, 3847, 26350, 40196, 1785, 5088, 16555, 20336, 28096, 15577, 38552, 26505, 14532, 37318, 22889, 15363, 8992, 9425, 41352, 16797, 24500, 26520, 28806, 34413, 32157, 5116, 34414, 18013, 22990, 40337, 34248, 3512, 28104, 696, 16758, 26508, 26507, 16615, 1296, 24120, 8310, 1722, 16851]",0.19166666666666665,"['quogue 3 piece coffee table set', 'harcourt reclaimed wood look 3 piece coffee table set', 'brook 3 piece coffee table set', 'audley wood 3 piece coffee table set', 'kira 3 piece coffee table set', 'huffine 3 piece coffee table set', 'rondo casual 3 piece coffee table set', 'calzada 3 piece coffee table set', 'odelia 3 piece coffee table set', 'mancuso 3 piece coffee table set']"
25,sunflower wall art,"[14067, 7227, 12179, 25000, 789, 1659, 12173, 9690, 9692, 12171]","[520, 20400, 218, 904, 28403, 24714, 10522, 10525, 19997, 17244, 23666, 32337, 770, 37792, 38025, 34994, 9514, 7328, 16105, 15396, 9717, 10633, 962, 31415, 6820, 41070, 9720, 7839, 7841, 7840, 37453, 2761, 9719, 19099, 19398, 7838, 36708, 4468, 894, 793, 5731, 17192, 9728, 21089, 7112, 38019, 20668, 12442, 40757, 32431, 12450, 32429, 34705, 14022, 27500, 10457, 2744, 38023, 34158, 25000, 925, 9727, 18492, 877, 803, 2746, 19394, 42623, 42622, 6073, 940, 2765, 41934, 20666, 2756, 2757, 7661, 23475, 2305, 34436, 7813, 36999, 13599, 34462, 32727, 8080, 10964, 6736, 9695, 9694, 13516, 7821, 40291, 13055, 13034, 13033, 11848, 9224, 40808, 28009, 11099, 35262, 26711, 37203, 13877, 21641, 33960, 217, 776, 30278, 20979, 20990, 10546, 20980, 20987, 2730, 32598, 5973, 18029, 12400, 15942, 15941, 35394, 20982, 20986, 20988, 35283, 12441, 10627, 10445, 27891, 18910, 9726, 12038, 12172, 30495, 15937, 7227, 11100, 31077, 6834, 20659, 15938, 15939, 30498, 21268, 30745, 6071, 20983, 20985, 40293, 789, 20984, 11628, 11627, 20667, 38015, 31934, 27730, 12021, 36626, 2734, 2735, 31125, 34859, 21640, 40761, 794, 14315, 20981, 11747, 9955, 11909, 21009, 20995, 5656, 31932, 3832, 3833, 24994, 8077, 12199, 40952, 40314, 5801, 11010, 11540, 11539, 28043, 11541, 31124, 30496, 30720, 12205, 8582, 2731, 36591, 33941, 34073, 40765, 38028, 13182, 36564, 30494, 2778, 2825, 773, 21088, 36671, 1350, 11101, 20399, 6070, 28596, 9698, 9700, 9701, 9693, 9696, 9697, 9699, 7989, 783, 15936, 31578, 224, 19417]",0.16,"[""`` water stones 5 '' 4 piece photographic print on wrapped canvas set"", 'sunflower garden painting print on wrapped canvas', 'dinosaur by nic squirrell - graphic art print', 'just a sunflower photographic print on wrapped canvas', 'sunflower painting print on wrapped canvas', 'shining multi-colored plasma - wrapped canvas graphic art print', 'and l. king by ben heine - graphic art print', 'peacock feather - 3 piece graphic art on wrapped canvas set', 'vegetation near eiffel tower - 3 piece wall art on wrapped canvas set', 'vs. the fear by ben heine - graphic art print']"
